"FIPS","Admin2","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","Combined_Key","Incidence_Rate","Case.Fatality_Ratio"
54019,"Fayette","West Virginia","US","2020-09-11",38.02974928,-81.08286634,432,9,0,423,"Fayette, West Virginia, US",1018.72376550488,2.08333333333333
54021,"Gilmer","West Virginia","US","2020-09-11",38.9251277,-80.85952723,19,0,0,19,"Gilmer, West Virginia, US",242.873577911287,0
54023,"Grant","West Virginia","US","2020-09-11",39.10314817,-79.19440518,145,6,0,139,"Grant, West Virginia, US",1253.45781466113,4.13793103448276
54025,"Greenbrier","West Virginia","US","2020-09-11",37.9463652,-80.45335881,113,3,0,110,"Greenbrier, West Virginia, US",326.005423807051,2.65486725663717
54027,"Hampshire","West Virginia","US","2020-09-11",39.32103553,-78.60826476,93,1,0,92,"Hampshire, West Virginia, US",401.294498381877,1.0752688172043
54029,"Hancock","West Virginia","US","2020-09-11",40.51943859,-80.57461608,128,0,0,128,"Hancock, West Virginia, US",444.290177021867,0
54031,"Hardy","West Virginia","US","2020-09-11",39.00683177,-78.85855301,75,0,0,75,"Hardy, West Virginia, US",544.425087108014,0
54033,"Harrison","West Virginia","US","2020-09-11",39.2853852,-80.37919577,308,3,0,305,"Harrison, West Virginia, US",457.951706910908,0.974025974025974
54035,"Jackson","West Virginia","US","2020-09-11",38.84263974,-81.68148753,219,21,0,198,"Jackson, West Virginia, US",766.377379619261,9.58904109589041
54037,"Jefferson","West Virginia","US","2020-09-11",39.30776166,-77.86014147,397,4,0,393,"Jefferson, West Virginia, US",694.711790851503,1.00755667506297
54039,"Kanawha","West Virginia","US","2020-09-11",38.33860077,-81.52857054,1809,48,0,1761,"Kanawha, West Virginia, US",1015.58464889627,2.65339966832504
54041,"Lewis","West Virginia","US","2020-09-11",38.9947249,-80.49988181,36,2,0,34,"Lewis, West Virginia, US",226.315458603131,5.55555555555556
54043,"Lincoln","West Virginia","US","2020-09-11",38.172154,-82.07017953,127,2,0,125,"Lincoln, West Virginia, US",622.274486746043,1.5748031496063
54045,"Logan","West Virginia","US","2020-09-11",37.8299889,-81.93528571,536,35,0,501,"Logan, West Virginia, US",1674.00605890253,6.52985074626866
54049,"Marion","West Virginia","US","2020-09-11",39.50984542,-80.24244659,234,2,0,232,"Marion, West Virginia, US",417.320587815666,0.854700854700855
54051,"Marshall","West Virginia","US","2020-09-11",39.86064362,-80.66591062,138,1,0,137,"Marshall, West Virginia, US",451.999606956863,0.72463768115942
54053,"Mason","West Virginia","US","2020-09-11",38.77071799,-82.02524219,131,1,0,130,"Mason, West Virginia, US",494.04133353447,0.763358778625954
54047,"McDowell","West Virginia","US","2020-09-11",37.38002939,-81.65083669,74,1,0,75,"McDowell, West Virginia, US",425.556059918293,1.35135135135135
54055,"Mercer","West Virginia","US","2020-09-11",37.40481169,-81.11023142,355,24,0,331,"Mercer, West Virginia, US",604.173048776337,6.76056338028169
54057,"Mineral","West Virginia","US","2020-09-11",39.41561583,-78.94104895,148,4,0,144,"Mineral, West Virginia, US",550.841149322614,2.7027027027027
54059,"Mingo","West Virginia","US","2020-09-11",37.73048351,-82.13338365,287,7,0,280,"Mingo, West Virginia, US",1225.23907103825,2.4390243902439
54061,"Monongalia","West Virginia","US","2020-09-11",39.63218457,-80.04766838,1547,5,0,1542,"Monongalia, West Virginia, US",1464.79566715904,0.323206205559147
54063,"Monroe","West Virginia","US","2020-09-11",37.56274716,-80.54577965,146,7,0,139,"Monroe, West Virginia, US",1099.81167608286,4.79452054794521
54065,"Morgan","West Virginia","US","2020-09-11",39.55439028,-78.26311676,43,0,0,43,"Morgan, West Virginia, US",240.438380675464,0
54067,"Nicholas","West Virginia","US","2020-09-11",38.29617706,-80.79759588,60,3,0,57,"Nicholas, West Virginia, US",244.937949052907,5
54069,"Ohio","West Virginia","US","2020-09-11",40.0955451,-80.62203992,302,6,0,296,"Ohio, West Virginia, US",729.274830359083,1.98675496688742
